algorithm,dataset,min,mean,max,std
BFS,datagen-7\_5-fb,37.92,40.18,42.66,2.38
BFS,datagen-7\_9-fb,77.67,82.29,87.89,5.18
BFS,cit-Patents,111.47,118.76,126.97,7.79
BFS,datagen-8\_4-fb,265.03,266.33,268.19,1.65
PageRank,datagen-7\_5-fb,53.63,54.89,56.20,1.28
PageRank,datagen-7\_9-fb,101.65,104.01,107.76,3.29
PageRank,graph500-22,98.87,105.41,114.26,7.95
PageRank,cit-Patents,115.43,119.57,123.09,3.87
PageRank,datagen-8\_4-fb,299.08,310.82,333.71,19.83
SSSP,datagen-7\_5-fb,39.65,46.63,55.61,8.17
SSSP,datagen-7\_9-fb,72.10,80.80,86.98,7.76
SSSP,datagen-8\_4-fb,279.81,284.01,287.48,3.89
WCC,datagen-7\_5-fb,34.17,35.38,37.01,1.47
WCC,graph500-22,72.00,74.71,77.96,3.02
WCC,datagen-7\_9-fb,71.78,75.16,78.97,3.62
WCC,cit-Patents,188.15,190.02,192.39,2.16
WCC,datagen-8\_4-fb,249.94,253.73,256.83,3.50
