algorithm,dataset,min,mean,max
BFS,graph500-22,0 B,0 B,0 B
BFS,datagen-8\_8-zf,155 KB,155 KB,155 KB
BFS,cit-Patents,48 MB,48 MB,48 MB
BFS,datagen-7\_5-fb,94 MB,94 MB,94 MB
BFS,datagen-7\_9-fb,231 MB,231 MB,231 MB
BFS,datagen-8\_4-fb,598 MB,598 MB,598 MB
PageRank,datagen-7\_5-fb,229 MB,229 MB,229 MB
PageRank,datagen-7\_9-fb,505 MB,505 MB,505 MB
PageRank,graph500-22,733 MB,733 MB,733 MB
PageRank,cit-Patents,1 GB,1 GB,1 GB
PageRank,datagen-8\_4-fb,1 GB,1 GB,1 GB
PageRank,datagen-8\_8-zf,17 GB,17 GB,17 GB
SSSP,datagen-8\_8-zf,187 KB,187 KB,187 KB
SSSP,datagen-7\_5-fb,126 MB,126 MB,126 MB
SSSP,datagen-7\_9-fb,321 MB,321 MB,321 MB
SSSP,datagen-8\_4-fb,850 MB,850 MB,850 MB
WCC,datagen-7\_5-fb,55 MB,55 MB,55 MB
WCC,datagen-7\_9-fb,123 MB,123 MB,123 MB
WCC,graph500-22,175 MB,175 MB,175 MB
WCC,datagen-8\_4-fb,347 MB,347 MB,347 MB
WCC,cit-Patents,920 MB,920 MB,920 MB
